Year,Mo,Dy,Hr,Mn,Tsu,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged
1983,10,4,18,52,1,CHILE,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563,15,7.3,5,0,12,1.0,40,75712
1985,3,3,22,47,1,CHILE,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708,40,8.0,180,0,2575,1500.0,5309,75712
1985,3,17,10,41,0,CHILE,"CHILE:  VALPARAISO, VINA DEL MAR",-32.663,-71.551,33,6.6,1,0,854,1952.0,5309,75712
1985,4,9,1,56,0,CHILE,"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO",-34.131,-71.618,38,7.5,2,0,854,1952.0,5309,75712
1986,12,19,5,47,0,CHILE,"CHILE:  CENTRAL, VALPARAISO",-33.071,-72.084,33,5.0,0,0,854,1952.0,16,75712
1987,3,5,9,17,1,CHILE,"CHILE:  ANTOFAGASTA, ARICA",-24.388,-70.161,62,7.3,1,0,854,1952.0,5309,75712
1987,8,8,15,48,0,CHILE,"CHILE:  ARICA, IQUIQUE",-19.022,-69.991,70,6.9,5,0,112,1.0,1000,75712
1988,2,5,14,1,1,CHILE,CHILE:  TALTAL,-24.753,-70.433,37,6.7,0,0,854,1952.0,5309,75712
1995,7,30,5,11,1,CHILE,"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,46,8.0,3,0,58,1.66,115,75712
1995,11,1,0,35,1,CHILE,CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,20,6.7,0,0,854,1952.0,5309,75712
1996,9,5,8,14,1,CHILE,CHILE:  EASTER ISLAND REGION,-22.118,-113.436,10,6.9,0,0,854,1952.0,5309,75712
1997,10,15,1,3,0,CHILE,"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,58,7.1,8,0,300,48.0,5000,15700
2002,1,14,15,36,0,CHILE,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,33,5.6,0,0,854,1952.0,5309,75712
2002,4,1,19,59,0,CHILE,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,71,6.4,0,0,854,1952.0,5309,75712
2002,4,18,16,8,0,CHILE,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,62,6.6,0,0,19,1952.0,34,575
2003,6,20,13,30,0,CHILE,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,33,6.8,0,0,1,1952.0,5309,75712
2004,5,3,4,36,0,CHILE,CHILE: CANETE,-37.695,-73.406,21,6.6,0,0,854,1952.0,5309,75712
2004,6,15,11,16,0,CHILE,"CHILE: CARAHUE, IMPERIAL, TEMUCO",-38.854,-73.155,38,5.9,0,0,854,1952.0,5309,75712
2005,6,13,22,44,0,CHILE,CHILE:  TARAPACA,-19.987,-69.197,116,7.7,11,0,200,1952.0,544,75712
2005,8,14,2,39,0,CHILE,CHILE:  TARAPACA,-19.78,-68.98,11,5.8,0,0,854,1952.0,5309,75712
2007,4,21,17,53,1,CHILE,CHILE:  SOUTHERN,-45.243,-72.648,37,6.2,2,0,854,1952.0,5309,2
2007,11,14,15,40,1,CHILE,"CHILE:  TOCOPILLA, MARIA ELENA",-22.247,-69.89,40,7.7,2,0,65,1952.0,5309,75712
2007,12,15,18,22,0,CHILE,"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO",-32.689,-71.695,25,5.9,0,0,4,1952.0,5309,75712
2010,2,27,6,34,1,CHILE,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,22,8.8,402,0,12000,30000.0,5309,500000
2010,3,11,14,39,1,CHILE,CHILE:  RANCAGUA,-34.29,-71.891,11,6.9,0,0,854,1952.0,5309,75712
2011,2,11,20,5,1,CHILE,CHILE:  OFF COAST CENTRAL,-36.474,-73.125,28,6.8,0,0,854,1952.0,5309,75712
2012,3,25,22,37,0,CHILE,"CHILE:  PARRAL, SANTIAGO",-35.2,-72.217,41,7.2,1,0,14,1952.0,5309,75712
2012,4,17,3,50,0,CHILE,CHILE:  VALPARAISO,-32.625,-71.365,29,6.7,2,0,854,1952.0,5309,75712
2012,5,14,10,0,0,CHILE,CHILE:  ARICA; PERU:  TACNA,-17.678,-69.591,10,6.3,0,0,854,1952.0,5309,75712
2014,3,16,21,16,1,CHILE,CHILE:  IQUIQUE,-19.981,-70.702,20,6.7,0,0,854,1952.0,5309,75712
2014,4,1,23,46,1,CHILE,"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.61,-70.769,25,8.2,7,0,854,100.0,5309,2600
2014,4,3,2,43,1,CHILE,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,22,7.7,0,0,854,1952.0,5309,75712
2014,10,9,2,14,1,CHILE,CHILE: EASTER ISLAND REGION,-32.108,-110.811,17,7.0,0,0,854,1952.0,5309,75712
2015,9,16,22,54,1,CHILE,CHILE:  CENTRAL,-31.573,-71.674,22,8.3,7,1,14,600.0,2305,10044
2015,11,11,1,54,1,CHILE,CHILE:  LA SERENA,-29.507,-72.007,12,6.9,0,0,854,1952.0,5309,75712
2016,12,25,14,22,1,CHILE,CHILE,-43.406,-73.941,38,7.6,0,0,854,1952.0,5309,75712
2017,4,24,21,38,1,CHILE,CHILE:  VALPARAISO,-33.038,-72.062,28,6.9,0,0,854,1952.0,5309,75712
2017,8,2,7,15,0,CHILE,CHILE:  SANTIAGO,-33.212,-70.626,92,5.4,1,0,854,1952.0,5309,75712
2019,1,20,1,32,0,CHILE,"CHILE:  COQUIMBO, LA SERENA",-30.04,-71.382,63,6.7,2,0,854,1952.0,5309,1061
2019,6,14,0,19,1,CHILE,CHILE:  COQUIMBO,-30.056,-72.082,11,6.4,0,0,854,1952.0,5309,75712
2019,9,26,16,36,0,CHILE,CHILE:  SOUTH CENTRAL,-40.815,-72.002,129,6.1,1,0,854,1952.0,5309,75712
2019,9,29,15,57,0,CHILE,CHILE:  CONCEPCION,-35.473,-73.162,11,6.8,1,0,854,1952.0,5309,75712
2020,12,27,21,39,1,CHILE,CHILE:  OFF COAST CENTRAL,-39.343,-74.99,10,6.7,0,0,854,1952.0,5309,75712
